Name,Date,Time,Location,Switch_id,CID
Siraj,Wednesday Apr 24-04-2019,22:56:20,Canopy,3,Qmbi8u4Je3TW8NzMW5Th4GM4y9GkKRYN5YphiMvmmTQtHU
Stefano,Wednesday Apr 24-04-2019,22:56:21,Canopy,3,Qmbi8u4Je3TW8NzMW5Th4GM4y9GkKRYN5YphiMvmmTQtHU
Stefano,Wednesday Apr 24-04-2019,22:56:21,Canopy,3,Qmbi8u4Je3TW8NzMW5Th4GM4y9GkKRYN5YphiMvmmTQtHU
Mirko,Wednesday Apr 24-04-2019,22:56:21,Canopy,3,Qmbi8u4Je3TW8NzMW5Th4GM4y9GkKRYN5YphiMvmmTQtHU
Stefano,Wednesday Apr 24-04-2019,22:56:21,Canopy,3,Qmbi8u4Je3TW8NzMW5Th4GM4y9GkKRYN5YphiMvmmTQtHU
Stefano,Wednesday Apr 24-04-2019,22:56:21,Canopy,3,Qmbi8u4Je3TW8NzMW5Th4GM4y9GkKRYN5YphiMvmmTQtHU
Siraj,Wednesday Apr 24-04-2019,22:56:21,Canopy,3,Qmbi8u4Je3TW8NzMW5Th4GM4y9GkKRYN5YphiMvmmTQtHU
Siraj,Wednesday Apr 24-04-2019,22:56:22,Canopy,3,Qmbi8u4Je3TW8NzMW5Th4GM4y9GkKRYN5YphiMvmmTQtHU
Siraj,Wednesday Apr 24-04-2019,22:56:22,Canopy,3,Qmbi8u4Je3TW8NzMW5Th4GM4y9GkKRYN5YphiMvmmTQtHU
Siraj,Wednesday Apr 24-04-2019,22:56:22,Canopy,3,Qmbi8u4Je3TW8NzMW5Th4GM4y9GkKRYN5YphiMvmmTQtHU
Siraj,Wednesday Apr 24-04-2019,22:56:22,Canopy,3,Qmbi8u4Je3TW8NzMW5Th4GM4y9GkKRYN5YphiMvmmTQtHU
Siraj,Wednesday Apr 24-04-2019,22:56:22,Canopy,3,Qmbi8u4Je3TW8NzMW5Th4GM4y9GkKRYN5YphiMvmmTQtHU
Siraj,Wednesday Apr 24-04-2019,22:56:22,Canopy,3,Qmbi8u4Je3TW8NzMW5Th4GM4y9GkKRYN5YphiMvmmTQtHU
Siraj,Wednesday Apr 24-04-2019,22:56:22,Canopy,3,Qmbi8u4Je3TW8NzMW5Th4GM4y9GkKRYN5YphiMvmmTQtHU
Siraj,Wednesday Apr 24-04-2019,22:56:23,Canopy,3,Qmbi8u4Je3TW8NzMW5Th4GM4y9GkKRYN5YphiMvmmTQtHU
Siraj,Wednesday Apr 24-04-2019,22:56:23,Canopy,3,Qmbi8u4Je3TW8NzMW5Th4GM4y9GkKRYN5YphiMvmmTQtHU
